item_code_i,item_code_j,score
179,255,0.8956063389778137
179,327,0.8828054666519165
179,303,0.8828054666519165
179,427,0.8794121742248535
179,926,0.8768120408058167
184,12508,0.8399965763092041
186,3054,0.8112675547599792
186,22204,0.7893069386482239
186,22751,0.7866269946098328
186,934,0.7856241464614868
186,6353,0.7456275820732117
186,4488,0.731116533279419
186,12566,0.7208757400512695
186,15670,0.7058278322219849
187,29388,0.7032685875892639
188,264,0.9739875197410583
188,961,0.9592390656471252
188,33067,0.7905293107032776
188,9217,0.703615128993988
188,39540,0.7001517415046692
193,965,0.7532618641853333
205,226,0.8959988951683044
205,325,0.8824084997177124
205,29,0.851391077041626
205,451,0.830068826675415
205,104,0.8091212511062622
205,37649,0.7222877144813538
205,37510,0.7069891691207886
206,2221,0.8587960600852966
206,2220,0.7221758365631104
206,278,0.7053132057189941
207,954,0.948793888092041
207,426,0.9093297123908997
207,30,0.8798976540565491
207,5,0.8176235556602478
207,107,0.8140159249305725
207,179,0.7812700271606445
207,208,0.7800723314285278
207,6,0.7800723314285278
207,976,0.771282970905304
208,6,1.0000001192092896
208,179,0.9714757204055786
208,976,0.9478984475135803
208,256,0.9161170125007629
208,327,0.9041379690170288
208,303,0.9041379690170288
208,926,0.8757684230804443
208,255,0.8634637594223022
208,977,0.845506489276886
212,13313,0.7685430645942688
212,36393,0.726830780506134
212,16954,0.708554208278656
212,9945,0.7032455205917358
213,41315,0.8392921090126038
213,21843,0.8392921090126038
213,9662,0.8392921090126038
213,25133,0.715552806854248
215,14232,0.8552366495132446
215,35726,0.8129127025604248
215,30164,0.7498614192008972
215,17303,0.7101925015449524
215,6168,0.7084007263183594
216,4768,0.859921395778656
218,56,0.8239666819572449
218,339,0.7370560169219971
221,16946,0.9999999403953552
221,33510,0.8585804104804993
221,21382,0.8498651385307312
221,459,0.8384138345718384
221,41126,0.8027374744415283
221,23578,0.7878811359405518
221,6933,0.766211211681366
221,12172,0.7223711609840393
221,8349,0.7165644764900208
222,965,0.8241658210754395
222,12780,0.7475136518478394
222,1124,0.7436102628707886
222,25449,0.7272391319274902
222,893,0.7229601740837097
222,320,0.7083255648612976
222,31816,0.7014506459236145
226,325,0.9069547057151794
226,205,0.8959988951683044
226,29,0.8817738890647888
226,451,0.8537185788154602
226,104,0.800159215927124
226,37649,0.7490962147712708
226,20948,0.7289453148841858
226,22553,0.7167785167694092
226,25427,0.7083700299263
230,980,0.9999998807907104
232,31251,0.8738426566123962
232,12344,0.8738425374031067
232,7931,0.8738425374031067
232,5233,0.8668274879455566
232,29155,0.8356258273124695
232,9,0.8356258273124695
232,1445,0.808150589466095
232,9970,0.7572643160820007
232,9822,0.7572643160820007
239,8851,0.8682385087013245
239,1358,0.8493665456771851
239,55,0.8223898410797119
239,443,0.7818480730056763
239,1182,0.7386733293533325
239,21640,0.7354124188423157
239,1334,0.7056592106819153
240,16730,0.9462342262268066
240,968,0.8239718675613403
240,945,0.7885341644287109
240,1839,0.785938024520874
240,1401,0.7671666741371155
240,241,0.7490958571434021
240,28420,0.745976448059082
240,1181,0.7329610586166382
240,748,0.7197613716125488
241,1080,0.8798722624778748
241,2369,0.8558840155601501
241,968,0.8114011883735657
241,945,0.7678213119506836
241,240,0.7490958571434021
241,1503,0.7467009425163269
241,16730,0.7166922688484192
241,1250,0.7090645432472229
241,16724,0.7023993134498596
242,555,0.933082640171051
246,777,0.7079092264175415
253,176,0.7459021210670471
253,12960,0.7259908318519592
253,15564,0.7016710042953491
255,327,0.9736058712005615
255,303,0.9736058712005615
255,977,0.9365280270576477
255,427,0.9131929874420166
255,926,0.9075835347175598
255,179,0.8956063389778137
255,208,0.8634637594223022
255,6,0.8634637594223022
255,107,0.8604094386100769
256,179,0.9517837762832642
256,976,0.9497955441474915
256,427,0.9202296137809753
256,208,0.9161170125007629
256,6,0.9161170125007629
256,926,0.8764846920967102
256,81,0.8457508087158203
256,255,0.8355323076248169
256,327,0.8196136951446533
264,188,0.9739875197410583
264,961,0.9664914011955261
264,33067,0.7513395547866821
265,9253,0.8408508896827698
265,88,0.7907224893569946
265,11581,0.7329267263412476
265,6824,0.7235581874847412
265,34339,0.7101048827171326
265,8373,0.7058548331260681
265,35029,0.7033113837242126
265,17893,0.7004964351654053
266,987,0.9999998211860657
266,1780,0.9493791460990906
266,1447,0.9493791460990906
266,391,0.8674169182777405
266,139,0.8394884467124939
266,10659,0.8360407948493958
269,1182,0.7226263880729675
270,1531,0.9247535467147827
270,460,0.9024412631988525
270,461,0.8587924838066101
270,1290,0.8478748798370361
270,1190,0.8408954739570618
270,12791,0.7740569114685059
270,515,0.7349253296852112
270,12783,0.7218566536903381
270,12784,0.700053870677948
273,415,0.8099426627159119
273,1344,0.8049962520599365
273,778,0.7207240462303162
273,49,0.7018451690673828
273,342,0.7000271081924438
278,324,0.9449204802513123
278,12761,0.7735137939453125
278,2467,0.765762209892273
278,10133,0.7084457278251648
278,206,0.7053132057189941
279,851,0.9065131545066833
290,12178,0.7342365384101868
290,12169,0.7342365384101868
290,10460,0.7342365384101868
290,30191,0.717570424079895
290,4041,0.717570424079895
290,12509,0.717570424079895
290,30706,0.716261088848114
290,10388,0.716261088848114
290,22234,0.7162608504295349
295,1472,0.8305830359458923
295,576,0.7916005849838257
295,1592,0.7527848482131958
295,1975,0.7076490521430969
298,29,0.8016090989112854
303,327,1.000000238418579
303,255,0.9736058712005615
303,977,0.9317153096199036
303,926,0.9181538224220276
303,208,0.9041379690170288
303,6,0.9041379690170288
303,427,0.8889464139938354
303,179,0.8828054666519165
303,107,0.8432665467262268
307,31246,0.7294341325759888
308,13089,1.000000238418579
308,9970,0.925422728061676
308,9822,0.925422728061676
308,15452,0.925422728061676
308,14881,0.925422728061676
308,25739,0.9176504015922546
308,1445,0.8685139417648315
308,3533,0.8300554752349854
308,7931,0.7752097249031067
310,137,0.7303082942962646
311,9091,0.769641101360321
317,333,0.8929784893989563
317,395,0.7771680355072021
319,965,0.7857932448387146
319,777,0.7414435148239136
319,320,0.713158369064331
319,12780,0.7113129496574402
320,965,0.8764356374740601
320,1474,0.824325680732727
320,751,0.7802613377571106
320,966,0.7653101086616516
320,30565,0.7401195764541626
320,12780,0.736261248588562
320,319,0.713158369064331
320,222,0.7083255648612976
320,1089,0.7080500721931458
324,278,0.9449204802513123
324,2467,0.7364841103553772
324,12761,0.7242208123207092
324,10133,0.7060189843177795
324,2221,0.7029386758804321
325,226,0.9069547057151794
325,29,0.8829014897346497
325,205,0.8824084997177124
325,451,0.8748199343681335
325,104,0.790168046951294
325,37649,0.7184915542602539
325,20950,0.7074871063232422
327,303,1.000000238418579
327,255,0.9736058712005615
327,977,0.9317153096199036
327,926,0.9181538224220276
327,208,0.9041379690170288
327,6,0.9041379690170288
327,427,0.8889464139938354
327,179,0.8828054666519165
327,107,0.8432665467262268
